name,year,country,scoring,drive_distance,gir_pct,sg_p,sg_ttg,sg_t,top_10,win
Adam Scott,2016,AUS,69.47,304.6,70.76,-0.168,2.062,1.894,9,2
Adam Scott,2017,AUS,69.996,307.0,67.05,-0.097,1.103,1.006,4,0
Adam Scott,2018,AUS,70.42,304.6,70.66,-0.285,1.064,0.779,3,0
Adam Scott,2019,AUS,69.693,299.3,68.94,0.348,1.483,1.831,9,0
Adam Scott,2020,AUS,69.977,308.1,68.13,0.269,0.636,0.905,1,0
Adam Scott,2021,AUS,70.447,306.0,65.35,0.475,0.264,0.739,2,0
Adam Scott,2022,AUS,70.506,312.4,67.67,0.279,0.34,0.619,5,0
Adam Svensson,2022,CAN,70.877,293.4,67.44,0.044,0.148,0.193,3,0
Alejandro Ca̱izares,2008,ESP,71.151,287.1,62.37,0.1,-0.527,-0.426,0,0
Alex Cejka,2007,GER,70.437,288.9,69.44,-0.479,1.207,0.728,4,0
Alex Cejka,2008,GER,71.096,282.7,63.12,-0.444,0.434,-0.01,4,0
Alex Cejka,2009,GER,70.98,281.2,66.52,-0.322,0.555,0.233,3,0
Alex Cejka,2010,GER,71.219,277.4,66.6,-0.466,0.396,-0.073,4,0
Alex Cejka,2011,GER,71.178,280.3,66.1,-0.665,0.527,-0.138,0,0
Alex Cejka,2015,GER,71.117,283.3,65.7,-0.232,0.015,-0.217,1,1
Alex Cejka,2016,GER,70.675,281.5,67.99,0.011,0.631,0.642,4,0
Alex Cejka,2017,GER,71.461,282.1,66.45,-0.359,-0.093,-0.452,1,0
Alex Cejka,2018,GER,70.675,286.7,63.77,0.009,0.302,0.312,2,0
Alex Noren,2018,SWE,69.973,299.2,64.91,0.758,0.286,1.044,3,0
Alex Noren,2020,SWE,70.127,296.0,64.78,0.4,0.252,0.651,4,0
Alex Noren,2021,SWE,70.78,297.9,63.21,0.538,0.096,0.634,3,0
Alex Noren,2022,SWE,70.545,299.8,65.71,0.457,0.026,0.482,3,0
Alex Prugh,2010,USA,70.878,295.7,68.6,0.202,-0.112,0.092,4,0
Alex Prugh,2011,USA,71.904,298.6,65.95,-0.582,-0.375,-0.958,0,0
Alex Prugh,2015,USA,71.089,295.2,70.14,-0.055,0.051,-0.004,2,0
Alex Smalley,2022,USA,70.535,306.5,68.28,-0.233,0.352,0.12,3,0
Alexandre Rocha,2011,BRA,71.262,290.9,68.23,-0.001,-0.374,-0.375,0,0
Alexandre Rocha,2012,BRA,72.039,284.6,66.87,-0.232,-0.624,-0.856,2,0
Alistair Presnell,2013,AUS,71.951,284.6,62.28,-0.02,-1.01,-1.03,0,0
Anders Hansen,2007,DEN,70.856,280.7,62.85,-0.176,0.087,-0.089,0,0
Andres Gonzales,2011,USA,71.634,293.1,64.42,0.143,-0.795,-0.652,0,0
Andres Gonzales,2015,USA,71.427,294.5,66.67,0.177,-0.714,-0.537,3,0
Andres Gonzales,2016,USA,71.681,294.7,66.17,0.008,-0.469,-0.462,1,0
Andres Gonzales,2017,USA,71.112,299.2,67.71,0.023,-0.003,0.02,1,0
Andres Romero,2008,ARG,70.816,299.1,58.79,0.008,-0.414,-0.406,3,1
Andres Romero,2009,ARG,71.462,298.5,64.91,-0.044,-0.247,-0.291,2,0
Andres Romero,2010,ARG,70.986,296.0,65.07,0.254,-0.118,0.136,2,0
Andres Romero,2011,ARG,70.495,294.7,63.41,0.4,0.074,0.474,4,0
Andres Romero,2012,ARG,71.543,292.0,61.3,-0.223,-0.187,-0.409,2,0
Andres Romero,2013,ARG,71.256,293.1,61.3,0.117,-0.317,-0.2,2,0
Andres Romero,2014,ARG,70.852,294.6,60.53,0.353,-0.207,0.145,1,0
Andres Romero,2015,ARG,71.427,295.3,61.7,0.19,-0.563,-0.374,2,0
Andrew Buckle,2007,AUS,71.443,294.7,62.52,0.161,-0.426,-0.265,1,0
Andrew Landry,2016,USA,71.143,294.7,64.63,0.654,-0.694,-0.04,1,0
Andrew Landry,2018,USA,71.059,291.1,65.63,-0.01,-0.029,-0.039,5,0
Andrew Landry,2019,USA,71.265,286.8,67.12,-0.153,0.142,-0.011,1,0
Andrew Landry,2020,USA,71.228,289.7,64.11,-0.341,-0.194,-0.536,1,0
Andrew Loupe,2014,USA,71.142,308.0,63.11,0.35,-0.485,-0.136,1,0
Andrew Loupe,2016,USA,71.423,309.3,63.41,0.301,-0.416,-0.115,4,0
Andrew Loupe,2017,USA,72.803,311.3,59.83,-0.242,-1.175,-1.416,1,0
Andrew McLardy,2010,RSA,72.217,289.9,65.97,-0.172,-0.832,-1.005,0,0
Andrew Putnam,2015,USA,72.278,278.7,59.9,0.525,-1.43,-0.905,0,0
Andrew Putnam,2018,USA,70.579,293.8,70.47,0.052,0.42,0.472,5,0
Andrew Putnam,2019,USA,70.644,281.5,65.94,0.7,-0.164,0.536,3,0
Andrew Putnam,2020,USA,71.871,277.9,63.77,0.841,-1.862,-1.021,1,0
Andrew Putnam,2021,USA,71.019,283.8,66.1,0.335,-0.308,0.027,4,0
Andrew Putnam,2022,USA,70.468,284.8,66.55,0.31,0.127,0.437,2,0
Andrew Svoboda,2013,USA,71.747,290.1,65.91,0.067,-0.629,-0.562,0,0
Andrew Svoboda,2014,USA,70.713,287.4,68.11,-0.026,0.37,0.344,2,0
Andrew Svoboda,2015,USA,72.119,287.1,63.6,-0.026,-1.041,-1.067,1,0
Anirban Lahiri,2016,IND,71.139,291.7,62.88,-0.02,0.088,0.068,1,0
Anirban Lahiri,2017,IND,70.799,297.0,63.43,-0.336,0.149,-0.186,3,0
Anirban Lahiri,2018,IND,70.66,294.0,64.7,0.199,-0.095,0.104,4,0
Anirban Lahiri,2021,IND,70.982,298.4,64.62,-0.039,0.116,0.077,3,0
Anirban Lahiri,2022,IND,70.869,298.2,64.89,-0.181,0.413,0.231,3,0
Anthony Kim,2007,USA,70.128,302.4,65.35,-0.121,0.794,0.673,4,0
Anthony Kim,2008,USA,69.279,300.9,65.78,0.362,1.117,1.479,8,2
Anthony Kim,2009,USA,70.507,299.0,62.69,0.245,0.235,0.479,3,0
Anthony Kim,2011,USA,70.775,294.2,61.58,0.239,-0.31,-0.071,2,0
Arjun Atwal,2011,IND,71.444,284.8,63.25,0.044,-0.453,-0.409,1,0
Arjun Atwal,2012,IND,71.634,285.1,63.85,-0.217,-0.443,-0.66,1,0
Aron Price,2009,AUS,71.329,279.6,65.71,0.109,-0.676,-0.567,1,0
Aron Price,2010,AUS,70.856,284.6,70.49,0.017,0.241,0.259,3,0
Aron Price,2011,AUS,70.729,282.6,67.09,0.094,0.186,0.28,0,0
Arron Oberholser,2007,USA,69.807,285.5,62.25,0.362,0.821,1.183,5,0
Austin Cook,2018,USA,70.469,292.3,66.51,0.315,0.254,0.569,3,0
Austin Cook,2019,USA,71.201,291.0,65.71,-0.088,-0.232,-0.319,2,0
Austin Cook,2021,USA,71.618,289.2,64.51,0.309,-0.73,-0.421,1,0
Austin Smotherman,2022,USA,71.106,304.6,68.47,-0.262,0.484,0.222,1,0
Bart Bryant,2007,USA,70.637,281.1,66.34,0.198,0.44,0.638,2,0
Bart Bryant,2008,USA,70.205,279.5,64.88,-0.004,0.693,0.689,2,0
Bart Bryant,2009,USA,71.177,274.6,62.76,-0.142,-0.365,-0.507,1,0
Beau Hossler,2018,USA,70.574,300.0,67.95,0.685,-0.101,0.584,5,0
Beau Hossler,2020,USA,71.387,306.6,65.17,0.456,-0.955,-0.499,1,0
Beau Hossler,2021,USA,71.525,305.1,65.34,0.206,-0.351,-0.145,1,0
Beau Hossler,2022,USA,70.98,309.3,63.49,0.717,-0.646,0.071,2,0
Ben Crane,2008,USA,70.155,287.8,65.76,0.745,0.135,0.88,4,0
Ben Crane,2009,USA,70.376,285.0,64.87,0.431,0.344,0.775,4,0
Ben Crane,2010,USA,70.234,282.3,68.22,0.266,0.594,0.862,5,1
Ben Crane,2011,USA,70.434,284.9,66.36,0.134,0.356,0.49,4,1
Ben Crane,2012,USA,70.708,286.8,64.81,0.432,0.16,0.591,4,0
Ben Crane,2013,USA,70.864,281.0,63.98,0.024,0.175,0.199,2,0
Ben Crane,2014,USA,70.954,279.0,63.44,0.138,-0.29,-0.152,2,1
Ben Crane,2015,USA,71.975,271.0,63.22,0.201,-0.759,-0.558,0,0
Ben Crane,2016,USA,70.908,280.3,63.6,0.216,0.037,0.253,1,0
Ben Crane,2017,USA,71.091,278.5,65.68,-0.155,-0.068,-0.223,1,0
Ben Crane,2018,USA,71.097,281.1,64.88,0.332,-0.157,0.176,1,0
Ben Curtis,2007,USA,71.582,277.1,60.56,-0.188,-0.561,-0.749,2,0
Ben Curtis,2008,USA,69.981,284.7,63.45,0.321,0.44,0.761,5,0
Ben Curtis,2009,USA,70.978,279.5,64.25,0.766,-0.515,0.251,1,0
Ben Curtis,2010,USA,70.871,275.5,68.02,0.229,0.004,0.234,1,0
Ben Curtis,2011,USA,70.839,276.7,65.82,0.239,-0.049,0.19,0,0
Ben Curtis,2012,USA,70.538,274.8,68.87,0.505,0.401,0.906,3,1
Ben Curtis,2013,USA,71.531,274.9,63.84,0.211,-0.458,-0.248,0,0
Ben Curtis,2014,USA,71.354,279.5,62.63,0.4,-0.616,-0.216,1,0
Ben Kohles,2013,USA,71.488,279.0,65.26,0.051,-0.509,-0.459,1,0
Ben Martin,2011,USA,71.419,289.5,64.76,0.406,-0.681,-0.275,1,0
Ben Martin,2014,USA,70.732,291.7,66.04,0.291,0.13,0.421,3,0
Ben Martin,2015,USA,70.95,288.1,68.7,0.127,0.153,0.28,5,1
Ben Martin,2016,USA,71.282,288.8,66.73,0.14,-0.117,0.023,2,0
Ben Martin,2017,USA,70.954,291.7,66.6,-0.044,0.208,0.163,2,0
Ben Martin,2018,USA,70.974,289.6,63.98,0.118,-0.119,-0.001,1,0
Ben Silverman,2018,CAN,71.281,290.2,64.95,0.238,-0.444,-0.206,2,0
Bill Haas,2007,USA,70.653,302.7,65.98,-0.018,0.426,0.408,3,0
Bill Haas,2008,USA,70.638,296.7,68.07,0.09,0.3,0.391,2,0
Bill Haas,2009,USA,70.53,298.3,67.37,0.036,0.42,0.455,4,0
Bill Haas,2010,USA,70.308,293.3,69.92,-0.065,0.985,0.918,4,2
Bill Haas,2011,USA,70.135,296.6,69.44,0.165,0.752,0.916,7,1
Bill Haas,2012,USA,70.484,292.2,65.17,0.103,0.564,0.668,3,1
Bill Haas,2013,USA,70.023,288.2,67.79,0.266,0.999,1.265,9,1
Bill Haas,2014,USA,70.132,291.9,68.62,0.147,0.943,1.09,5,0
Bill Haas,2015,USA,70.672,290.7,68.8,-0.229,0.689,0.46,5,1
Bill Haas,2016,USA,70.444,289.6,67.14,-0.174,0.693,0.519,6,0
Bill Haas,2017,USA,70.011,293.0,67.91,0.055,0.868,0.923,4,0
Bill Haas,2019,USA,71.056,291.5,64.65,0.055,0.098,0.153,2,0
Bill Lunde,2009,USA,70.623,292.4,67.01,0.0,0.157,0.158,2,0
Bill Lunde,2010,USA,71.688,288.9,65.85,-0.012,-0.461,-0.466,3,1
Bill Lunde,2011,USA,71.046,291.5,69.38,0.003,0.057,0.06,0,0
Bill Lunde,2012,USA,71.062,290.5,67.56,-0.241,0.546,0.305,1,0
Bill Lunde,2015,USA,71.796,287.7,68.72,-0.52,-0.724,-1.244,0,0
Billy Andrade,2007,USA,71.588,286.2,65.03,-0.134,-0.107,-0.241,0,0
Billy Andrade,2008,USA,71.967,283.3,63.52,-0.311,-0.653,-0.963,0,0
Billy Horschel,2011,USA,71.512,291.0,67.07,-0.024,-0.168,-0.192,2,0
Billy Horschel,2012,USA,70.494,290.2,68.79,-0.068,0.459,0.391,1,0
Billy Horschel,2013,USA,70.244,293.8,67.48,0.381,0.275,0.656,8,1
Billy Horschel,2014,USA,70.521,291.6,70.43,0.22,0.518,0.738,5,2
Billy Horschel,2015,USA,71.05,295.0,69.33,0.244,0.202,0.446,2,0
Billy Horschel,2016,USA,70.548,293.0,67.7,0.076,0.733,0.81,5,0
Billy Horschel,2017,USA,70.832,300.1,67.89,0.084,-0.08,0.004,4,0
Billy Horschel,2018,USA,70.154,295.4,71.75,0.392,0.72,1.112,6,0
Billy Horschel,2019,USA,70.644,291.8,67.63,0.522,0.307,0.829,4,0
Billy Horschel,2020,USA,70.209,299.3,66.17,0.423,0.348,0.771,6,0
Billy Horschel,2021,USA,70.925,294.7,66.47,0.285,0.016,0.301,6,0
Billy Horschel,2022,USA,70.023,297.3,68.17,0.448,0.583,1.031,5,0
Billy Hurley III,2012,USA,72.116,275.3,57.74,0.276,-1.6,-1.324,2,0
Billy Hurley III,2014,USA,70.696,276.7,65.89,0.039,0.27,0.309,4,0
Billy Hurley III,2015,USA,71.043,271.9,65.26,0.311,-0.423,-0.112,1,0
Billy Hurley III,2016,USA,70.846,277.7,62.71,0.433,-0.084,0.348,2,1
Billy Hurley III,2017,USA,71.176,276.9,63.61,0.374,-0.263,0.11,1,0
Billy Mayfair,2007,USA,70.444,286.8,68.08,-0.086,0.69,0.604,6,0
Billy Mayfair,2008,USA,70.512,284.0,68.12,-0.228,0.605,0.377,4,0
Billy Mayfair,2009,USA,71.952,284.2,66.33,-0.91,0.02,-0.89,1,0
Billy Mayfair,2010,USA,71.426,284.0,69.68,-1.008,0.543,-0.467,2,0
Billy Mayfair,2011,USA,70.747,283.3,68.77,-0.237,0.621,0.385,2,0
Billy Mayfair,2012,USA,70.948,286.8,64.02,-0.205,0.128,-0.077,1,0
Bio Kim,2011,KOR,71.696,296.1,59.49,0.033,-0.886,-0.854,0,0
Blake Adams,2010,USA,71.077,291.3,66.73,0.196,-0.432,-0.233,2,0
Blake Adams,2011,USA,70.7,292.1,65.48,0.475,-0.064,0.411,4,0
Blake Adams,2012,USA,70.586,288.4,65.91,0.232,0.124,0.356,3,0
Blayne Barber,2015,USA,71.127,288.6,66.44,0.313,-0.297,0.015,4,0
Blayne Barber,2016,USA,71.032,289.6,66.74,0.01,0.088,0.099,1,0
Blayne Barber,2017,USA,71.163,291.2,67.61,0.402,-0.389,0.013,1,0
Bo Hoag,2020,USA,71.193,294.7,69.98,0.122,-0.454,-0.332,1,0
Bo Van Pelt,2007,USA,70.051,294.7,66.4,0.16,0.789,0.949,4,0
Bo Van Pelt,2008,USA,70.956,292.0,67.3,-0.149,0.13,-0.019,1,0
Bo Van Pelt,2009,USA,70.357,292.5,66.73,0.275,0.426,0.701,5,1
Bo Van Pelt,2010,USA,69.955,292.0,69.23,0.098,1.091,1.192,8,0
Bo Van Pelt,2011,USA,70.092,297.4,68.02,-0.167,1.034,0.867,5,0
Bo Van Pelt,2012,USA,69.718,296.1,67.07,0.542,0.895,1.437,10,0
Bo Van Pelt,2013,USA,71.08,285.9,65.63,-0.181,0.111,-0.07,1,0
Bo Van Pelt,2014,USA,70.827,291.3,68.61,-0.053,0.431,0.378,1,0
Bo Van Pelt,2015,USA,71.497,289.5,66.88,0.118,-0.368,-0.25,2,0
Bo Van Pelt,2021,USA,71.97,293.2,65.05,-0.225,-0.458,-0.683,1,0
Bob Estes,2007,USA,70.962,282.6,63.19,0.616,-0.235,0.38,3,0
Bob Estes,2008,USA,70.742,282.6,68.69,0.146,0.352,0.498,2,0
Bob Estes,2009,USA,70.568,282.6,64.25,0.313,0.215,0.528,2,0
Bob Estes,2010,USA,71.086,283.9,67.79,0.014,-0.064,-0.048,2,0
Bob Estes,2012,USA,70.418,285.2,62.39,0.074,0.288,0.362,2,0
Bob Estes,2013,USA,70.361,285.0,64.9,0.335,0.424,0.759,2,0
Bob Heintz,2007,USA,71.162,285.2,63.17,0.221,-0.143,0.078,2,0
Bob Heintz,2009,USA,71.07,283.5,64.65,0.601,-0.581,0.02,1,0
Bob Sowards,2008,USA,71.967,287.9,63.43,0.101,-0.948,-0.847,1,0
Bob Tway,2007,USA,71.272,284.3,63.52,0.16,-0.489,-0.329,0,0
Bob Tway,2008,USA,70.262,279.2,67.36,0.822,0.09,0.912,1,0
Bobby Gates,2011,USA,71.616,297.4,64.71,-0.452,-0.445,-0.898,3,0
Bobby Gates,2012,USA,71.208,300.2,65.39,-0.262,-0.003,-0.265,1,0
Bobby Gates,2013,USA,72.59,296.2,62.84,0.011,-1.408,-1.398,1,0
Boo Weekley,2007,USA,70.303,296.6,65.86,-0.192,0.819,0.627,5,1
Boo Weekley,2008,USA,70.414,291.7,67.87,-0.498,1.048,0.55,5,1
Boo Weekley,2009,USA,70.427,291.7,66.81,-0.528,1.033,0.505,1,0
Boo Weekley,2010,USA,70.851,291.9,70.07,-0.376,0.558,0.183,3,0
Boo Weekley,2011,USA,71.176,296.6,71.68,-1.1,0.818,-0.282,0,0
Boo Weekley,2012,USA,70.966,296.8,69.53,-1.055,0.973,-0.082,3,0
Boo Weekley,2013,USA,70.611,290.9,69.39,-0.676,0.774,0.099,4,1
Boo Weekley,2014,USA,71.307,288.3,68.06,-1.152,0.875,-0.277,1,0
Boo Weekley,2015,USA,70.775,292.0,67.72,-0.246,0.671,0.425,6,0
Boo Weekley,2016,USA,71.0,291.5,67.87,-0.225,0.307,0.082,2,0
Boo Weekley,2017,USA,71.476,289.9,68.65,-0.954,0.63,-0.323,1,0
Brad Adamonis,2008,USA,71.079,289.9,65.86,-0.332,0.132,-0.2,3,0
Brad Adamonis,2009,USA,71.574,289.0,62.99,0.066,-0.537,-0.471,1,0
Brad Elder,2008,USA,71.547,289.8,64.94,0.267,-0.673,-0.406,1,0
Brad Fritsch,2013,CAN,71.085,297.0,66.59,-0.212,0.166,-0.046,1,0
Brad Fritsch,2014,CAN,70.888,294.4,65.05,-0.05,0.11,0.06,3,0
Brad Fritsch,2017,CAN,71.855,288.3,64.21,-0.596,-0.122,-0.719,0,0
Branden Grace,2016,RSA,70.204,295.6,66.76,-0.105,0.96,0.855,6,1
Branden Grace,2017,RSA,70.862,292.0,66.4,-0.248,0.518,0.271,2,0
Branden Grace,2018,RSA,70.412,298.9,67.1,0.35,0.463,0.812,2,0
Branden Grace,2019,RSA,71.421,295.1,66.09,-0.52,0.413,-0.107,2,0
Branden Grace,2021,RSA,70.741,293.8,64.47,0.15,0.233,0.383,4,0
Brandon Hagy,2017,USA,70.875,312.7,64.5,0.109,0.184,0.293,1,0
Brandon Hagy,2021,USA,71.609,311.6,62.99,-0.159,-0.073,-0.232,3,0
Brandon Harkins,2018,USA,70.721,303.1,65.67,0.225,0.05,0.275,3,0
Brandon Wu,2022,USA,71.006,295.3,69.22,-0.065,-0.13,-0.195,4,0
Brandt Jobe,2008,USA,71.078,298.8,66.45,-0.107,-0.117,-0.224,0,0
Brandt Jobe,2011,USA,70.334,298.5,69.16,-0.015,0.611,0.596,4,0
Brandt Jobe,2012,USA,71.064,299.2,64.68,0.257,-0.204,0.053,1,0
Brandt Jobe,2013,USA,71.175,292.1,66.0,-0.002,0.123,0.121,0,0
Brandt Snedeker,2007,USA,70.089,285.6,64.58,0.511,0.161,0.672,6,1
Brandt Snedeker,2008,USA,70.506,280.8,63.36,0.122,0.161,0.282,5,0
Brandt Snedeker,2009,USA,70.474,277.3,63.92,0.761,0.063,0.823,5,0
Brandt Snedeker,2010,USA,70.258,277.1,62.36,0.464,0.109,0.572,5,0
Brandt Snedeker,2011,USA,69.859,287.2,64.9,0.588,0.507,1.094,7,1
Brandt Snedeker,2012,USA,69.84,288.7,63.75,0.86,0.15,1.01,7,2
Brandt Snedeker,2013,USA,69.791,281.3,65.68,0.692,0.449,1.141,9,2
Brandt Snedeker,2014,USA,70.671,285.6,63.28,0.326,0.318,0.644,3,0
Brandt Snedeker,2015,USA,70.158,288.4,64.97,0.588,0.02,0.607,8,1
Brandt Snedeker,2016,USA,70.203,292.6,65.67,0.343,0.518,0.86,7,1
Brandt Snedeker,2017,USA,70.055,281.6,67.11,0.572,0.506,1.079,4,0
Brandt Snedeker,2018,USA,70.379,293.1,65.04,0.478,0.147,0.625,4,0
Brandt Snedeker,2019,USA,70.52,287.2,64.93,0.592,0.37,0.962,6,0
Brandt Snedeker,2020,USA,70.731,288.5,65.93,0.347,-0.155,0.192,1,0
Brandt Snedeker,2021,USA,71.037,286.6,64.48,0.341,-0.041,0.3,2,0
Brendan Steele,2011,USA,71.019,292.8,65.45,-0.06,0.054,-0.006,3,1
Brendan Steele,2012,USA,71.887,288.8,65.3,-0.112,-0.405,-0.517,3,0
Brendan Steele,2013,USA,71.053,290.7,65.99,0.028,-0.005,0.023,2,0
Brendan Steele,2014,USA,70.798,298.9,66.47,0.121,0.398,0.519,4,0
Brendan Steele,2015,USA,70.413,302.9,68.52,-0.047,1.005,0.958,4,0
Brendan Steele,2016,USA,70.855,302.2,68.72,-0.257,0.532,0.275,2,0
Brendan Steele,2017,USA,70.503,300.4,67.26,-0.013,0.888,0.875,4,0
Brendan Steele,2018,USA,71.021,310.3,69.24,-0.576,0.604,0.029,3,0
Brendan Steele,2020,USA,70.302,303.6,68.14,0.126,0.582,0.708,3,0
Brendan Steele,2021,USA,71.383,299.3,65.42,-0.131,0.246,0.115,3,0
Brendan Steele,2022,USA,70.679,307.8,69.33,-0.541,0.884,0.343,4,0
Brenden Pappas,2008,RSA,70.977,294.9,65.28,0.335,-0.368,-0.033,1,0
Brenden Pappas,2010,RSA,71.966,288.4,66.49,-0.091,-0.637,-0.731,0,0
Brendon Todd,2009,USA,72.758,276.2,61.44,-0.051,-1.447,-1.498,0,0
Brendon Todd,2012,USA,71.873,283.6,60.0,0.427,-1.617,-1.19,1,0
Brendon Todd,2014,USA,70.049,280.3,63.99,0.664,0.129,0.793,7,1
Brendon Todd,2015,USA,70.533,276.4,65.47,0.582,0.248,0.83,4,0
Brendon Todd,2016,USA,72.728,280.1,54.23,0.462,-2.055,-1.593,0,0
Brendon Todd,2020,USA,70.151,282.7,65.5,0.498,-0.101,0.397,4,0
Brendon Todd,2021,USA,70.842,275.2,64.86,0.62,-0.205,0.415,3,0
Brendon Todd,2022,USA,70.439,279.0,64.99,0.781,-0.262,0.519,2,0
Brendon de Jonge,2007,ZIM,71.413,293.8,64.35,-0.083,-0.188,-0.271,2,0
Brendon de Jonge,2009,ZIM,71.225,290.3,66.67,-0.217,-0.019,-0.236,2,0
Brendon de Jonge,2010,ZIM,70.344,286.9,70.07,0.0,0.757,0.762,7,0
Brendon de Jonge,2011,ZIM,70.429,287.8,66.45,0.273,0.303,0.576,3,0
Brendon de Jonge,2012,ZIM,70.137,288.8,69.17,0.144,0.939,1.083,4,0
Brendon de Jonge,2013,ZIM,70.154,286.3,68.84,0.03,0.725,0.756,4,0
Brendon de Jonge,2014,ZIM,70.801,287.9,64.48,-0.032,0.256,0.224,2,0
Brendon de Jonge,2015,ZIM,70.642,285.3,67.51,-0.007,0.32,0.312,3,0
Brendon de Jonge,2016,ZIM,71.603,287.5,65.64,0.156,-0.489,-0.332,0,0
Brett Drewitt,2017,AUS,72.13,286.4,64.78,-0.457,-0.578,-1.035,0,0
Brett Quigley,2007,USA,71.212,290.7,62.11,-0.005,0.134,0.128,1,0
Brett Quigley,2008,USA,70.897,287.5,64.53,0.102,0.324,0.426,2,0
Brett Quigley,2009,USA,70.833,287.5,66.01,-0.193,0.306,0.113,3,0
Brett Quigley,2010,USA,71.082,283.2,70.12,0.078,-0.014,0.065,1,0
Brett Rumford,2008,AUS,72.023,282.7,61.52,-0.332,-0.54,-0.873,1,0
Brett Stegmaier,2016,USA,70.995,295.3,66.8,-0.06,0.108,0.048,3,0
